Go getting
github.com/goplus/cobra.(*Command).execute(0x289a99e4a008, {0x289a99e50000, 0x4, 0x4})
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/command.go:1019 +0xb23
github.com/goplus/cobra.(*Command).ExecuteC(0x289a99e48008)
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/command.go:1148 +0x450
github.com/goplus/cobra.(*Command).Execute(...)
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/command.go:1071
github.com/goplus/cobra/xcmd.Gopt_App_Main({0x1778a38, 0x289a99e48008}, {0x289a99cf3db8, 0xd, 0xd})
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/xcmd/classfile.go:133 +0x270
main.(*App).Main(0x289a99e48008)
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/llgo/cmd/llgo/main_app.gox:17 +0x545
main.main()
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/llgo/cmd/llgo/version_cmd.gox:34 +0x1f
 DISABLING build client_go_005/LLGo

compiling: client_go_006 (LLGo)

compiling: client_go_007 (LLGo)

compiling: client_go_008 (LLGo)
There was an error running "/home/runner/work/benchmarks/benchmarks/.ci/llgo/llgo test", output = Error: function (k8s.io/apimachinery/pkg/util/sets.Set[any]).New[any]: function has 2 parameters in signature but has 1 after building
# Name: (k8s.io/apimachinery/pkg/util/sets.Set[any]).New[any]
# Synthetic: instance of New
# Location: /home/runner/work/benchmarks/benchmarks/.ci/bent-compatibility/gopath/pkg/mod/k8s.io/apimachinery@v0.36.2/pkg/util/sets/set.go:32:6
func (s Set[any]) New[any](items ...any) Set[any]:
0:                                                                entry P:0 S:0
	t0 = len(items)                                                     int
	t1 = make Set[any] t0                                          Set[any]
	t2 = (Set[any]).Insert(t1, items...)                           Set[any]
	return t1

panic: SanityCheck failed

goroutine 1 [running]:
golang.org/x/tools/go/ssa.mustSanityCheck(0x32b67104f448, {0x0?, 0x0?})
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/sanity.go:51 +0x9a
golang.org/x/tools/go/ssa.(*Function).done.func1(0x32b67104f448)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/func.go:417 +0x130
golang.org/x/tools/go/ssa.(*Function).done(0x32b65071cd80?)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/func.go:420 +0x3c
golang.org/x/tools/go/ssa.(*builder).buildFunction(0x32b61c417c68?, 0x32b67104f448)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/builder.go:2930 +0x192
golang.org/x/tools/go/ssa.(*builder).iterate(0x32b65071cd80)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/builder.go:2914 +0x25
golang.org/x/tools/go/ssa.(*Program).MethodValue(0x32b61c417c20, 0x32b661e89630)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/methods.go:84 +0x1da
golang.org/x/tools/go/ssa/ssautil.AllFunctions.func2-range1(...)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/ssautil/visit.go:80
go/types.(*MethodSet).Methods.func1(...)
	/home/runner/go/pkg/mod/golang.org/toolchain@v0.0.1-go1.27.0.linux-amd64/src/go/types/iter.go:115
golang.org/x/tools/go/ssa/ssautil.AllFunctions.func2(...)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/ssautil/visit.go:77
golang.org/x/tools/go/ssa/ssautil.AllFunctions(0x32b61c417c20)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/ssautil/visit.go:140 +0x58e
github.com/xgo-dev/llgo/internal/build.recordPackageSSAInstructions(0x32b61e220f08)
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/internal/build/build.go:3544 +0x1cd
github.com/xgo-dev/llgo/internal/build.Build({{0x32b5d1576070, 0x1, 0x1}, 0x32b5d1516b48, {0x0, 0x0}, 0x0, 0x0})
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/internal/build/build.go:823 +0x3b7c
github.com/xgo-dev/llgo/internal/build.Do(...)
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/internal/build/build.go:456
github.com/xgo-dev/llgo/cmd/internal/test.runCmd(0x32b5d13febb0?, {0x32b5d1576040?, 0x1?, 0x7f06042a5108?})
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/internal/test/test.go:75 +0x445
main.(*Cmd_test).Main.func1({0x32b5d1576040?, 0x32b5d13b4700?, 0x32b5d13b4700?})
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/llgo/cmd/llgo/test_cmd.gox:27 +0x2f
github.com/goplus/cobra/xcmd.(*Command).Run__1.func1(0x32b5d13b4700?, {0x32b5d1576040?, 0x4?, 0xcf978c?})
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/xcmd/classfile.go:87 +0x25
github.com/goplus/cobra.(*Command).execute(0x32b5d1570008, {0x32b5d1576040, 0x4, 0x4})
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/command.go:1019 +0xb23
github.com/goplus/cobra.(*Command).ExecuteC(0x32b5d156e008)
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/command.go:1148 +0x450
github.com/goplus/cobra.(*Command).Execute(...)
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/command.go:1071
github.com/goplus/cobra/xcmd.Gopt_App_Main({0x1778a38, 0x32b5d156e008}, {0x32b5d1403db8, 0xd, 0xd})
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/xcmd/classfile.go:133 +0x270
main.(*App).Main(0x32b5d156e008)
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/llgo/cmd/llgo/main_app.gox:17 +0x545
main.main()
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/llgo/cmd/llgo/version_cmd.gox:34 +0x1f
 DISABLING build client_go_008/LLGo

compiling: client_go_009 (LLGo)
There was an error running "/home/runner/work/benchmarks/benchmarks/.ci/llgo/llgo test", output = Error: function (k8s.io/apimachinery/pkg/util/sets.Set[any]).New[any]: function has 2 parameters in signature but has 1 after building
# Name: (k8s.io/apimachinery/pkg/util/sets.Set[any]).New[any]
# Synthetic: instance of New
# Location: /home/runner/work/benchmarks/benchmarks/.ci/bent-compatibility/gopath/pkg/mod/k8s.io/apimachinery@v0.36.2/pkg/util/sets/set.go:32:6
func (s Set[any]) New[any](items ...any) Set[any]:
0:                                                                entry P:0 S:0
	t0 = len(items)                                                     int
	t1 = make Set[any] t0                                          Set[any]
	t2 = (Set[any]).Insert(t1, items...)                           Set[any]
	return t1

panic: SanityCheck failed

goroutine 1 [running]:
golang.org/x/tools/go/ssa.mustSanityCheck(0x7ae1af74d88, {0x0?, 0x0?})
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/sanity.go:51 +0x9a
golang.org/x/tools/go/ssa.(*Function).done.func1(0x7ae1af74d88)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/func.go:417 +0x130
golang.org/x/tools/go/ssa.(*Function).done(0x7ae06dec300?)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/func.go:420 +0x3c
golang.org/x/tools/go/ssa.(*builder).buildFunction(0x7add3b57e48?, 0x7ae1af74d88)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/builder.go:2930 +0x192
golang.org/x/tools/go/ssa.(*builder).iterate(0x7ae06dec300)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/builder.go:2914 +0x25
golang.org/x/tools/go/ssa.(*Program).MethodValue(0x7add3b57e00, 0x7ae18560f50)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/methods.go:84 +0x1da
golang.org/x/tools/go/ssa/ssautil.AllFunctions.func2-range1(...)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/ssautil/visit.go:80
go/types.(*MethodSet).Methods.func1(...)
	/home/runner/go/pkg/mod/golang.org/toolchain@v0.0.1-go1.27.0.linux-amd64/src/go/types/iter.go:115
golang.org/x/tools/go/ssa/ssautil.AllFunctions.func2(...)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/ssautil/visit.go:77
golang.org/x/tools/go/ssa/ssautil.AllFunctions(0x7add3b57e00)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/ssautil/visit.go:140 +0x58e
github.com/xgo-dev/llgo/internal/build.recordPackageSSAInstructions(0x7add597cf08)
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/internal/build/build.go:3544 +0x1cd
github.com/xgo-dev/llgo/internal/build.Build({{0x7ad92c241b0, 0x1, 0x1}, 0x7ad92c4e008, {0x0, 0x0}, 0x0, 0x0})
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/internal/build/build.go:823 +0x3b7c
github.com/xgo-dev/llgo/internal/build.Do(...)
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/internal/build/build.go:456
github.com/xgo-dev/llgo/cmd/internal/test.runCmd(0x7ad92c18170?, {0x7ad92c24180?, 0x1?, 0x7f74d7a9fbf0?})
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/internal/test/test.go:75 +0x445
main.(*Cmd_test).Main.func1({0x7ad92c24180?, 0x7ad92c34400?, 0x7ad92c34400?})
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/llgo/cmd/llgo/test_cmd.gox:27 +0x2f
github.com/goplus/cobra/xcmd.(*Command).Run__1.func1(0x7ad92c34400?, {0x7ad92c24180?, 0x4?, 0xcf978c?})
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/xcmd/classfile.go:87 +0x25
github.com/goplus/cobra.(*Command).execute(0x7ad92c1e008, {0x7ad92c24180, 0x4, 0x4})
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/command.go:1019 +0xb23
github.com/goplus/cobra.(*Command).ExecuteC(0x7ad92c1c008)
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/command.go:1148 +0x450
github.com/goplus/cobra.(*Command).Execute(...)
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/command.go:1071
github.com/goplus/cobra/xcmd.Gopt_App_Main({0x1778a38, 0x7ad92c1c008}, {0x7ad92b4bdb8, 0xd, 0xd})
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/xcmd/classfile.go:133 +0x270
main.(*App).Main(0x7ad92c1c008)
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/llgo/cmd/llgo/main_app.gox:17 +0x545
main.main()
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/llgo/cmd/llgo/version_cmd.gox:34 +0x1f
 DISABLING build client_go_009/LLGo

compiling: client_go_010 (LLGo)
There was an error running "/home/runner/work/benchmarks/benchmarks/.ci/llgo/llgo test", output = Error: function (k8s.io/apimachinery/pkg/util/sets.Set[any]).New[any]: function has 2 parameters in signature but has 1 after building
# Name: (k8s.io/apimachinery/pkg/util/sets.Set[any]).New[any]
# Synthetic: instance of New
# Location: /home/runner/work/benchmarks/benchmarks/.ci/bent-compatibility/gopath/pkg/mod/k8s.io/apimachinery@v0.36.2/pkg/util/sets/set.go:32:6
func (s Set[any]) New[any](items ...any) Set[any]:
0:                                                                entry P:0 S:0
	t0 = len(items)                                                     int
	t1 = make Set[any] t0                                          Set[any]
	t2 = (Set[any]).Insert(t1, items...)                           Set[any]
	return t1

panic: SanityCheck failed

goroutine 1 [running]:
golang.org/x/tools/go/ssa.mustSanityCheck(0x4cbd926db08, {0x0?, 0x0?})
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/sanity.go:51 +0x9a
golang.org/x/tools/go/ssa.(*Function).done.func1(0x4cbd926db08)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/func.go:417 +0x130
golang.org/x/tools/go/ssa.(*Function).done(0x4cbc7db7ad0?)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/func.go:420 +0x3c
golang.org/x/tools/go/ssa.(*builder).buildFunction(0x4cba9353768?, 0x4cbd926db08)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/builder.go:2930 +0x192
golang.org/x/tools/go/ssa.(*builder).iterate(0x4cbc7db7ad0)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/builder.go:2914 +0x25
golang.org/x/tools/go/ssa.(*Program).MethodValue(0x4cba9353720, 0x4cbd677ea00)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/methods.go:84 +0x1da
golang.org/x/tools/go/ssa/ssautil.AllFunctions.func2-range1(...)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/ssautil/visit.go:80
go/types.(*MethodSet).Methods.func1(...)
	/home/runner/go/pkg/mod/golang.org/toolchain@v0.0.1-go1.27.0.linux-amd64/src/go/types/iter.go:115
golang.org/x/tools/go/ssa/ssautil.AllFunctions.func2(...)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/ssautil/visit.go:77
golang.org/x/tools/go/ssa/ssautil.AllFunctions(0x4cba9353720)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/ssautil/visit.go:140 +0x58e
github.com/xgo-dev/llgo/internal/build.recordPackageSSAInstructions(0x4cbab208008)
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/internal/build/build.go:3544 +0x1cd
github.com/xgo-dev/llgo/internal/build.Build({{0x4cb695c0030, 0x1, 0x1}, 0x4cb69554b48, {0x0, 0x0}, 0x0, 0x0})
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/internal/build/build.go:823 +0x3b7c
github.com/xgo-dev/llgo/internal/build.Do(...)
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/internal/build/build.go:456
github.com/xgo-dev/llgo/cmd/internal/test.runCmd(0x4cb6951cb70?, {0x4cb695c0000?, 0x1?, 0x7fc1c70fe2f8?})
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/internal/test/test.go:75 +0x445
main.(*Cmd_test).Main.func1({0x4cb695c0000?, 0x4cb69596600?, 0x4cb69596600?})
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/llgo/cmd/llgo/test_cmd.gox:27 +0x2f
github.com/goplus/cobra/xcmd.(*Command).Run__1.func1(0x4cb69596600?, {0x4cb695c0000?, 0x4?, 0xcf978c?})
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/xcmd/classfile.go:87 +0x25
github.com/goplus/cobra.(*Command).execute(0x4cb695ba008, {0x4cb695c0000, 0x4, 0x4})
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/command.go:1019 +0xb23
github.com/goplus/cobra.(*Command).ExecuteC(0x4cb695b8008)
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/command.go:1148 +0x450
github.com/goplus/cobra.(*Command).Execute(...)
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/command.go:1071
github.com/goplus/cobra/xcmd.Gopt_App_Main({0x1778a38, 0x4cb695b8008}, {0x4cb6933fdb8, 0xd, 0xd})
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/xcmd/classfile.go:133 +0x270
main.(*App).Main(0x4cb695b8008)
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/llgo/cmd/llgo/main_app.gox:17 +0x545
main.main()
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/llgo/cmd/llgo/version_cmd.gox:34 +0x1f
 DISABLING build client_go_010/LLGo

compiling: client_go_011 (LLGo)
There was an error running "/home/runner/work/benchmarks/benchmarks/.ci/llgo/llgo test", output = Error: function (k8s.io/apimachinery/pkg/util/sets.Set[any]).New[any]: function has 2 parameters in signature but has 1 after building
# Name: (k8s.io/apimachinery/pkg/util/sets.Set[any]).New[any]
# Synthetic: instance of New
# Location: /home/runner/work/benchmarks/benchmarks/.ci/bent-compatibility/gopath/pkg/mod/k8s.io/apimachinery@v0.36.2/pkg/util/sets/set.go:32:6
func (s Set[any]) New[any](items ...any) Set[any]:
0:                                                                entry P:0 S:0
	t0 = len(items)                                                     int
	t1 = make Set[any] t0                                          Set[any]
	t2 = (Set[any]).Insert(t1, items...)                           Set[any]
	return t1

panic: SanityCheck failed

goroutine 1 [running]:
golang.org/x/tools/go/ssa.mustSanityCheck(0x2e9fe8b7688, {0x0?, 0x0?})
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/sanity.go:51 +0x9a
golang.org/x/tools/go/ssa.(*Function).done.func1(0x2e9fe8b7688)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/func.go:417 +0x130
golang.org/x/tools/go/ssa.(*Function).done(0x2ea31bdc3f0?)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/func.go:420 +0x3c
golang.org/x/tools/go/ssa.(*builder).buildFunction(0x2e9cbdd4728?, 0x2e9fe8b7688)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/builder.go:2930 +0x192
golang.org/x/tools/go/ssa.(*builder).iterate(0x2ea31bdc3f0)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/builder.go:2914 +0x25
golang.org/x/tools/go/ssa.(*Program).MethodValue(0x2e9cbdd46e0, 0x2ea1fdf86e0)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/methods.go:84 +0x1da
golang.org/x/tools/go/ssa/ssautil.AllFunctions.func2-range1(...)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/ssautil/visit.go:80
go/types.(*MethodSet).Methods.func1(...)
	/home/runner/go/pkg/mod/golang.org/toolchain@v0.0.1-go1.27.0.linux-amd64/src/go/types/iter.go:115
golang.org/x/tools/go/ssa/ssautil.AllFunctions.func2(...)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/ssautil/visit.go:77
golang.org/x/tools/go/ssa/ssautil.AllFunctions(0x2e9cbdd46e0)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/ssautil/visit.go:140 +0x58e
github.com/xgo-dev/llgo/internal/build.recordPackageSSAInstructions(0x2e9d2a56f08)
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/internal/build/build.go:3544 +0x1cd
github.com/xgo-dev/llgo/internal/build.Build({{0x2e9af150030, 0x1, 0x1}, 0x2e9af0eab48, {0x0, 0x0}, 0x0, 0x0})
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/internal/build/build.go:823 +0x3b7c
github.com/xgo-dev/llgo/internal/build.Do(...)
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/internal/build/build.go:456
github.com/xgo-dev/llgo/cmd/internal/test.runCmd(0x2e9af0b6b70?, {0x2e9af150000?, 0x1?, 0x7fdc2f507bf0?})
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/internal/test/test.go:75 +0x445
main.(*Cmd_test).Main.func1({0x2e9af150000?, 0x2e9af126600?, 0x2e9af126600?})
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/llgo/cmd/llgo/test_cmd.gox:27 +0x2f
github.com/goplus/cobra/xcmd.(*Command).Run__1.func1(0x2e9af126600?, {0x2e9af150000?, 0x4?, 0xcf978c?})
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/xcmd/classfile.go:87 +0x25
github.com/goplus/cobra.(*Command).execute(0x2e9af14a008, {0x2e9af150000, 0x4, 0x4})
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/command.go:1019 +0xb23
github.com/goplus/cobra.(*Command).ExecuteC(0x2e9af148008)
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/command.go:1148 +0x450
github.com/goplus/cobra.(*Command).Execute(...)
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/command.go:1071
github.com/goplus/cobra/xcmd.Gopt_App_Main({0x1778a38, 0x2e9af148008}, {0x2e9aefe5db8, 0xd, 0xd})
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/xcmd/classfile.go:133 +0x270
main.(*App).Main(0x2e9af148008)
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/llgo/cmd/llgo/main_app.gox:17 +0x545
main.main()
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/llgo/cmd/llgo/version_cmd.gox:34 +0x1f
 DISABLING build client_go_011/LLGo

compiling: client_go_012 (LLGo)
There was an error running "/home/runner/work/benchmarks/benchmarks/.ci/llgo/llgo test", output = Error: function (k8s.io/apimachinery/pkg/util/sets.Set[any]).New[any]: function has 2 parameters in signature but has 1 after building
# Name: (k8s.io/apimachinery/pkg/util/sets.Set[any]).New[any]
# Synthetic: instance of New
# Location: /home/runner/work/benchmarks/benchmarks/.ci/bent-compatibility/gopath/pkg/mod/k8s.io/apimachinery@v0.36.2/pkg/util/sets/set.go:32:6
func (s Set[any]) New[any](items ...any) Set[any]:
0:                                                                entry P:0 S:0
	t0 = len(items)                                                     int
	t1 = make Set[any] t0                                          Set[any]
	t2 = (Set[any]).Insert(t1, items...)                           Set[any]
	return t1

panic: SanityCheck failed

goroutine 1 [running]:
golang.org/x/tools/go/ssa.mustSanityCheck(0x2c104e64c008, {0x0?, 0x0?})
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/sanity.go:51 +0x9a
golang.org/x/tools/go/ssa.(*Function).done.func1(0x2c104e64c008)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/func.go:417 +0x130
golang.org/x/tools/go/ssa.(*Function).done(0x2c104e628e10?)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/func.go:420 +0x3c
golang.org/x/tools/go/ssa.(*builder).buildFunction(0x2c10291f9308?, 0x2c104e64c008)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/builder.go:2930 +0x192
golang.org/x/tools/go/ssa.(*builder).iterate(0x2c104e628e10)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/builder.go:2914 +0x25
golang.org/x/tools/go/ssa.(*Program).MethodValue(0x2c10291f92c0, 0x2c104c1343c0)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/methods.go:84 +0x1da
golang.org/x/tools/go/ssa/ssautil.AllFunctions.func2-range1(...)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/ssautil/visit.go:80
go/types.(*MethodSet).Methods.func1(...)
	/home/runner/go/pkg/mod/golang.org/toolchain@v0.0.1-go1.27.0.linux-amd64/src/go/types/iter.go:115
golang.org/x/tools/go/ssa/ssautil.AllFunctions.func2(...)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/ssautil/visit.go:77
golang.org/x/tools/go/ssa/ssautil.AllFunctions(0x2c10291f92c0)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/ssautil/visit.go:140 +0x58e
github.com/xgo-dev/llgo/internal/build.recordPackageSSAInstructions(0x2c102b030008)
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/internal/build/build.go:3544 +0x1cd
github.com/xgo-dev/llgo/internal/build.Build({{0x2c1000a36070, 0x1, 0x1}, 0x2c1000956b48, {0x0, 0x0}, 0x0, 0x0})
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/internal/build/build.go:823 +0x3b7c
github.com/xgo-dev/llgo/internal/build.Do(...)
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/internal/build/build.go:456
github.com/xgo-dev/llgo/cmd/internal/test.runCmd(0x2c10008bebb0?, {0x2c1000a36040?, 0x1?, 0x7fdaed8a6108?})
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/internal/test/test.go:75 +0x445
main.(*Cmd_test).Main.func1({0x2c1000a36040?, 0x2c1000874700?, 0x2c1000874700?})
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/llgo/cmd/llgo/test_cmd.gox:27 +0x2f
github.com/goplus/cobra/xcmd.(*Command).Run__1.func1(0x2c1000874700?, {0x2c1000a36040?, 0x4?, 0xcf978c?})
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/xcmd/classfile.go:87 +0x25
github.com/goplus/cobra.(*Command).execute(0x2c1000a30008, {0x2c1000a36040, 0x4, 0x4})
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/command.go:1019 +0xb23
github.com/goplus/cobra.(*Command).ExecuteC(0x2c1000a2e008)
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/command.go:1148 +0x450
github.com/goplus/cobra.(*Command).Execute(...)
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/command.go:1071
github.com/goplus/cobra/xcmd.Gopt_App_Main({0x1778a38, 0x2c1000a2e008}, {0x2c10008c3db8, 0xd, 0xd})
	/home/runner/go/pkg/mod/github.com/goplus/cobra@v1.9.12/xcmd/classfile.go:133 +0x270
main.(*App).Main(0x2c1000a2e008)
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/llgo/cmd/llgo/main_app.gox:17 +0x545
main.main()
	/home/runner/work/benchmarks/benchmarks/.ci/llgo/cmd/llgo/cmd/llgo/version_cmd.gox:34 +0x1f
 DISABLING build client_go_012/LLGo

compiling: client_go_013 (LLGo)
There was an error running "/home/runner/work/benchmarks/benchmarks/.ci/llgo/llgo test", output = Error: function (k8s.io/apimachinery/pkg/util/sets.Set[any]).New[any]: function has 2 parameters in signature but has 1 after building
# Name: (k8s.io/apimachinery/pkg/util/sets.Set[any]).New[any]
# Synthetic: instance of New
# Location: /home/runner/work/benchmarks/benchmarks/.ci/bent-compatibility/gopath/pkg/mod/k8s.io/apimachinery@v0.36.2/pkg/util/sets/set.go:32:6
func (s Set[any]) New[any](items ...any) Set[any]:
0:                                                                entry P:0 S:0
	t0 = len(items)                                                     int
	t1 = make Set[any] t0                                          Set[any]
	t2 = (Set[any]).Insert(t1, items...)                           Set[any]
	return t1

panic: SanityCheck failed

goroutine 1 [running]:
golang.org/x/tools/go/ssa.mustSanityCheck(0x8ed6e7cc488, {0x0?, 0x0?})
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/sanity.go:51 +0x9a
golang.org/x/tools/go/ssa.(*Function).done.func1(0x8ed6e7cc488)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/func.go:417 +0x130
golang.org/x/tools/go/ssa.(*Function).done(0x8ed6e7d06c0?)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/func.go:420 +0x3c
golang.org/x/tools/go/ssa.(*builder).buildFunction(0x8ed2ed81588?, 0x8ed6e7cc488)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/builder.go:2930 +0x192
golang.org/x/tools/go/ssa.(*builder).iterate(0x8ed6e7d06c0)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/builder.go:2914 +0x25
golang.org/x/tools/go/ssa.(*Program).MethodValue(0x8ed2ed81540, 0x8ed638667d0)
	/home/runner/go/pkg/mod/golang.org/x/tools@v0.50.0/go/ssa/methods.go:84 +0x1da
